[ 2026-03-21 17:28:31,558 ] 19 root - INFO - Initiate the data ingestion
[ 2026-03-21 17:28:34,973 ] 66 root - INFO - Performed train test split on the dataframe
[ 2026-03-21 17:28:34,973 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-21 17:28:34,973 ] 76 root - INFO - Exporting train and test file path.
[ 2026-03-21 17:28:35,073 ] 85 root - INFO - Exported train and test file path.
[ 2026-03-21 17:28:35,073 ] 21 root - INFO - Data ingestion completed
[ 2026-03-21 17:28:35,093 ] 25 root - INFO - Initiate the data validation
[ 2026-03-21 17:28:35,192 ] 33 root - INFO - Required number of columns: 2
[ 2026-03-21 17:28:35,193 ] 34 root - INFO - Dataframe has columns: 31
[ 2026-03-21 17:28:35,193 ] 33 root - INFO - Required number of columns: 2
[ 2026-03-21 17:28:35,193 ] 34 root - INFO - Dataframe has columns: 31
[ 2026-03-21 17:28:35,445 ] 27 root - INFO - Data validation completed
[ 2026-03-21 17:28:35,445 ] 30 root - INFO - Initiate the data transformation
[ 2026-03-21 17:28:35,445 ] 58 root - INFO - Entered the initiate_data_transformation method of DataTransformation class
[ 2026-03-21 17:28:35,453 ] 60 root - INFO - Started the data transformation component
[ 2026-03-21 17:28:35,495 ] 47 root - INFO - Entered the get_data_transformer_object method of DataTransformation class
[ 2026-03-21 17:28:35,500 ] 51 root - INFO - Initialized KNNImputer with parameters: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-21 17:28:35,535 ] 51 root - INFO - Entred the save_object method of MainUtils class
[ 2026-03-21 17:28:35,546 ] 34 root - INFO - Data transformation completed
[ 2026-03-21 17:28:35,546 ] 36 root - INFO - Model Training Started
[ 2026-03-21 17:38:30,700 ] 64 root - INFO - Entred the load_object method of MainUtils class
[ 2026-03-21 17:38:30,719 ] 51 root - INFO - Entred the save_object method of MainUtils class
[ 2026-03-21 17:38:30,719 ] 116 root - INFO - Model trainer artifact : ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_21_2026_17_28_24\\model_trainer\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908499389995933, precision_score=0.9916564916564916, recall_score=0.9900446972775294), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9777418049372724, precision_score=0.9773462783171522, recall_score=0.9781376518218623))
[ 2026-03-21 17:38:30,721 ] 41 root - INFO - Model Training artifact created
